sku,description,chosen,MAE,RMSE,MAPE%,MASE,WAPE%,MPE%,MASE_WF,alpha,bias,plot,MASE_holdout
4807788561688,BIOGESIC 500MG TAB,Blend,230.63311821990607,287.5036756857998,58.05086506308213,0.7228462079370219,39.43669532527409,9.359974604347691,1.1614165343481475,0.6,1.3,gb_4807788561688.png,
4806533602379,RETASAR (LOSARTAN) 50MG TAB,SN,,,,,,,,,,gb_4806533602379.png,1.8499561275226677
4806504260614,APPEVIT (BUCLIZINE HCL+B-COMPLEX+IRON) CAP,Blend,76.45836453580478,83.94190049331317,21.826803821768408,0.7674616264572625,21.347544263961577,6.134519918170277,2.501242471993783,0.0,1.2629730458231512,gb_4806504260614.png,
8904179014702,NOVASARTAN (LOSARTAN K) 50MG FC TAB,SN,,,,,,,,,,gb_8904179014702.png,0.8067718888820653
0725765883117,OHHIRA&#039;S RED OMX PROBIOTICS CAP,SN,,,,,,,,,,gb_0725765883117.png,1.8502061855670102
4807788562593,IMMUNPRO 500MG TAB,Blend,43.184511243673875,54.611322912940686,69.31220774070549,0.3994474293685184,46.43495832653105,44.36425886118925,0.5831945734874421,0.0,0.7558941219444743,gb_4807788562593.png,
4806524781854,NEPHORMIN (KETOANALOGUES+ESSENTIAL AMINO ACIDS) TAB,SN,,,,,,,,,,gb_4806524781854.png,0.5226161369193154
4800369000545,TERRAFERON CAP,Blend,38.01102536932261,44.06895276383676,69.69971701374223,0.2505402379067675,50.014507064898176,51.99975563941924,0.5140127381502468,0.3,0.7,gb_4800369000545.png,
4807788526762,BIOFLU TAB,Blend,40.4271529669115,45.41620579678459,48.0380836759944,0.5857734255873578,42.7477448290605,18.275415168490998,0.7090610523906938,0.0,0.776570280892564,gb_4807788526762.png,
8904186000521,TRIMEBET (TRIMETAZIDINE) 35G TAB,Blend,28.810584146972968,34.4330198543254,16.948298973520824,0.3104588808941053,16.131346106927754,3.765838478834118,1.101885018954207,0.49999999999999994,0.9833375524465903,gb_8904186000521.png,
