sku,description,mode,chosen,MAE,RMSE,MAPE%,MASE,WAPE%,MPE%,MASE_WF,plot
4807788561688,BIOGESIC 500MG TAB,auto,Blend,212.60299652099607,292.7945258493177,62.52562876965963,0.6663365219071375,36.35366708715457,33.511652057227046,,xgb_4807788561688.png
4806533602379,RETASAR (LOSARTAN) 50MG TAB,auto,Seasonal-Naive,460.0,481.08488509478934,270.4123513571385,1.8499561275226677,78.32009080590238,212.55061160582449,,xgb_4806533602379.png
4806504260614,APPEVIT (BUCLIZINE HCL+B-COMPLEX+IRON) CAP,auto,Blend,78.12084792605235,80.68897984490064,22.68429957548552,0.7841490381535995,21.811717647434765,6.664665937693102,,xgb_4806504260614.png
8904179014702,NOVASARTAN (LOSARTAN K) 50MG FC TAB,auto,Seasonal-Naive,281.5,287.31254758537784,167.9318783068783,0.8067718888820653,71.53748411689962,134.74669312169314,,xgb_8904179014702.png
0725765883117,OHHIRA&#039;S RED OMX PROBIOTICS CAP,auto,Blend,51.10281453528796,54.86801484202733,15.58710802733935,0.5268331395390512,14.538496311603971,4.052956625219342,,xgb_0725765883117.png
4807788562593,IMMUNPRO 500MG TAB,auto,Blend,43.67616707938058,56.09501482974145,69.32250254086657,0.403995139972418,46.96362051546299,45.0889283927018,,xgb_4807788562593.png
4806524781854,NEPHORMIN (KETOANALOGUES+ESSENTIAL AMINO ACIDS) TAB,auto,Blend,104.90858240651804,126.94219136417574,28.64814353247351,0.2565002014829292,31.5989706043729,4.559100711576914,,xgb_4806524781854.png
4800369000545,TERRAFERON CAP,auto,Blend,37.90365774972098,48.17211356788174,57.947362108133916,0.24983255089498313,49.87323388121181,29.727348517370128,,xgb_4800369000545.png
4807788526762,BIOFLU TAB,auto,Blend,39.23355532329101,43.815523334754936,47.69610530392434,0.5684786687428965,41.48563251707508,18.745501380680814,,xgb_4807788526762.png
8904186000521,TRIMEBET (TRIMETAZIDINE) 35G TAB,auto,Blend,32.016917369040605,35.40481612143182,19.257765380941144,0.3450098854422479,17.926605469787575,3.9656248689761635,,xgb_8904186000521.png
