sku,description,mode,chosen,MAE,RMSE,MAPE%,MASE,WAPE%,MPE%,MASE_WF,plot
4807788561688,BIOGESIC 500MG TAB,auto,Blend,217.6372024132524,279.1512589151654,61.17908889365123,0.6821146402765991,37.214482071186104,35.88229879773886,0.8949850262761319,lstm_4807788561688.png
4806533602379,RETASAR (LOSARTAN) 50MG TAB,auto,LSTM,262.2019617875417,444.3583710862579,285.6473206495414,1.054482882298537,44.64278577540437,284.35040386423344,,lstm_4806533602379.png
4806504260614,APPEVIT (BUCLIZINE HCL+B-COMPLEX+IRON) CAP,auto,LSTM,102.8928776359558,135.27863314248532,24.619758812555833,1.0328017830459804,28.72818785904506,-14.62747234900596,1.729368198228358,lstm_4806504260614.png
8904179014702,NOVASARTAN (LOSARTAN K) 50MG FC TAB,auto,Seasonal-Naive,281.5,287.31254758537784,167.9318783068783,0.8067718888820653,71.53748411689962,134.74669312169314,,lstm_8904179014702.png
0725765883117,OHHIRA&#039;S RED OMX PROBIOTICS CAP,auto,Blend,60.906100711418645,61.795073727073486,18.601175318293745,0.6278979454785427,17.327482421456228,4.85755883603235,,lstm_0725765883117.png
4807788562593,IMMUNPRO 500MG TAB,auto,Blend,67.94336921618238,76.17810474249163,154.88808981518414,0.6284615338796015,73.05738625395954,146.46750590950973,0.6574991887409536,lstm_4807788562593.png
4806524781854,NEPHORMIN (KETOANALOGUES+ESSENTIAL AMINO ACIDS) TAB,auto,LSTM,112.44015048980712,163.70607929071102,27.86772556821797,0.2749147933736116,33.86751520777323,-13.448489307344666,,lstm_4806524781854.png
4800369000545,TERRAFERON CAP,auto,Blend,39.67380041980103,45.98640704324387,63.74491419488953,0.2615000068865467,52.202368973422416,40.792449271070865,0.513932189972318,lstm_4800369000545.png
4807788526762,BIOFLU TAB,auto,Blend,33.82962246775849,36.85842327275985,40.002793695013835,0.49017782319435615,35.771504119986325,14.938973650921975,0.7113412435674988,lstm_4807788526762.png
8904186000521,TRIMEBET (TRIMETAZIDINE) 35G TAB,auto,Blend,34.576444620999084,40.12761589110581,20.57055758448042,0.37259099807111085,19.35971143393006,4.3281011030496765,0.4324840226835424,lstm_8904186000521.png
