month,growth_rate
2022-06,4.880101246062285
2022-07,24.474937212179015
2022-08,1.1366425004010416
2022-09,14.725400338702022
2022-10,-3.1340510468523153
2022-11,-4.133763511241561
2022-12,3.316464733437563
2023-01,16.834755355309518
2023-02,6.576647907034872
2023-03,-2.791091487351627
2023-04,-21.36085359823383
2023-05,27.296778421325296
2023-06,-2.980287163827733
2023-07,-2.8864868414951728
2023-09,33.22713896659295
2023-10,19.653430201845158
2023-11,-3.990355734733897
2023-12,25.432428541416673
2024-01,3.4001172618774334
2024-02,-25.136381943813156
2024-03,30.568122631971328
2024-04,-7.365920749911526
2024-05,-10.786111419442268
2024-06,-30.01968685191061
2024-07,41.671296424482684
2024-08,-15.263987061862228
2024-09,30.241218329355224
2024-10,-14.471708823446928
2024-11,-13.414169701317292
2024-12,-7.558562928303269
2025-01,17.239659621105275
2025-02,-15.53037986364092
2025-03,10.556702356177826
